InvoiceID,Date,Branch,City,Category,Product,Unit Price,Quantity,CustomerType,PaymentMethod,Rating,Sales
INV-1001,2024-04-02,C,Mumbai,Bakery,Croissant,119.36,9.0,Normal,Card,3.8,1074.24
INV-1002,2024-04-25,B,Delhi,Bakery,White Bread,140.85,8.0,Normal,Cash,3.4,1126.8
INV-1003,2024-03-21,B,Delhi,Beverages,Coffee Powder,121.07,9.0,Normal,UPI,4.8,1089.63
INV-1004,2024-01-28,C,Mumbai,Beverages,Coffee Powder,100.04,6.0,Normal,Card,3.7,600.24
INV-1005,2024-04-11,B,Delhi,Bakery,White Bread,48.68,5.0,Member,Cash,3.4,243.4
INV-1006,2024-02-26,B,Delhi,Household,Tissue Paper,222.07,1.0,Normal,Card,4.1,222.07
INV-1007,2024-03-25,A,Kanpur,Snacks,Biscuits,43.99,2.0,Member,Card,4.4,87.98
INV-1008,2024-01-21,C,Mumbai,Bakery,Muffin,102.91,3.0,Normal,Cash,2.8,308.73
INV-1009,2024-02-19,C,Mumbai,Snacks,Chocolate Bar,95.43,6.0,Member,Cash,4.6,572.58
INV-1010,2024-02-22,C,Mumbai,Dairy,Yogurt,46.78,10.0,Normal,Cash,4.1,467.8
INV-1011,2024-05-09,C,Mumbai,Bakery,Croissant,48.32,9.0,Member,Card,4.3,434.88
INV-1012,2024-03-09,B,Delhi,Beverages,Cheese,207.43,5.0,Member,Cash,2.8,1037.15
INV-1013,2024-02-17,A,Kanpur,Beverages,Cola,165.37,10.0,Normal,UPI,4.9,1653.7
INV-1014,2024-06-11,C,Mumbai,Bakery,Muffin,62.83,5.0,Member,UPI,4.3,314.15
INV-1015,2024-01-26,B,Delhi,Beverages,Cola,141.36,9.0,Normal,Cash,4.0,1272.24
INV-1016,2024-03-29,C,Mumbai,Beverages,Mineral Water,91.4,2.0,Member,UPI,5.0,182.8
INV-1017,2024-01-28,B,Delhi,Beverages,Orange Juice,112.97,10.0,Member,Cash,3.8,1129.7
INV-1018,2024-03-28,B,Delhi,Household,Floor Cleaner,61.51,3.0,Normal,Card,3.3,184.53
INV-1019,2024-01-02,B,Delhi,Dairy,Ghee,144.55,4.0,Member,UPI,4.7,578.2
INV-1020,2024-05-01,A,Kanpur,Fruits & Vegetables,Potatoes,26.4,7.0,Member,Cash,5.0,184.8
INV-1021,2024-03-23,C,Mumbai,Beverages,Mineral Water,59.99,10.0,Normal,UPI,3.4,599.9
INV-1022,2024-04-02,B,Delhi,Personal Care,Face Wash,137.28,7.0,Member,Card,4.3,960.96
INV-1023,2024-01-21,A,Kanpur,Bakery,Cookies,136.46,10.0,Normal,Card,3.9,1364.6
INV-1024,2024-03-08,B,Delhi,Household,Tissue Paper,212.03,5.0,Member,Card,4.1,1060.15
INV-1025,2024-02-20,C,Mumbai,Dairy,Milk 1L,228.38,2.0,Member,Cash,3.2,456.76
INV-1026,2024-01-03,C,Mumbai,Personal Care,Toothpaste,214.55,10.0,Member,UPI,4.4,2145.5
INV-1027,2024-01-16,A,Kanpur,Fruits & Vegetables,Potatoes,76.02,7.0,Member,Card,4.6,532.14
INV-1028,2024-03-12,A,Kanpur,Beverages,Green Tea,168.41,1.0,Member,Cash,4.4,168.41
INV-1029,2024-05-14,C,Mumbai,Dairy,Ghee,40.2,10.0,Normal,UPI,4.1,402.0
INV-1030,2024-03-25,C,Mumbai,Fruits & Vegetables,Tomatoes,132.25,5.0,Normal,UPI,4.8,661.25
INV-1031,2024-01-22,C,Mumbai,Household,Detergent,203.08,3.0,Normal,Cash,3.6,609.24
INV-1032,2024-03-22,B,Delhi,Snacks,Namkeen,124.1,3.0,Member,UPI,3.2,372.3
INV-1033,2024-06-13,C,Mumbai,Beverages,Coffee Powder,123.39,1.0,Normal,UPI,3.8,123.39
INV-1034,2024-01-21,A,Kanpur,Dairy,Ghee,63.79,5.0,Member,UPI,4.2,318.95
INV-1035,2024-05-22,A,Kanpur,Fruits & Vegetables,Tomatoes,56.33,7.0,Member,Cash,4.0,394.31
INV-1036,2024-02-14,A,Kanpur,Beverages,Coffee Powder,57.88,3.0,Normal,UPI,3.5,173.64
INV-1037,2024-05-30,B,Delhi,Fruits & Vegetables,Potatoes,102.51,2.0,Member,Card,2.8,205.02
INV-1038,2024-04-25,C,Mumbai,Personal Care,Face Wash,339.12,7.0,Normal,UPI,3.8,2373.84
INV-1039,2024-03-19,B,Delhi,Household,Floor Cleaner,140.12,5.0,Normal,UPI,3.7,700.6
INV-1040,2024-03-06,B,Delhi,Dairy,Yogurt,110.85,6.0,Member,UPI,3.3,665.1
INV-1041,2024-03-29,A,Kanpur,Personal Care,Soap,194.27,10.0,Member,Cash,5.0,1942.7
INV-1042,2024-05-12,C,Mumbai,Fruits & Vegetables,Onions,89.05,2.0,Member,Cash,3.9,178.1
INV-1043,2024-01-31,B,Delhi,Beverages,Mineral Water,33.52,8.0,Normal,UPI,3.2,268.16
